X,Y
2221825,5382666
2153504,5534193
2243157,5222444
1929109,5603389
2066106,5488028
2220066,5380201
2284552,5462653
1230751,5678141
2221825,5382666
2389469,5301705
2343385,5116873
2379101,5093140
-951921,1050130
1516646,1475198
-1725507,1233800
-1048883,3419740
-1289823,3024129
-454949,5286292
-1655417,4421815
-937645,3595083
-1263704,4023195
-1068523,3084326
2670423,3136932
-1486935,3304319
2641388,3004694
-1708394,4843565
-1777854,4959424
-1077297,3011889
717753,2897286
-1328885,5128905
-1212748,5064001
-1396538,3413807
-1251690,3562877
1576027,2657148
-1400421,3825155
-1249326,3690456
-490467,3888857
-331252,3741664
782468,4933948
744260,4979106
228645,4336150
891412,4978222
1099117,5004007
1308735,5035069
894736,5270442
1704291,5057679
185207,3331175
-2222235,3442476
3013625,3312499
-1854741,3178674
-1048301,3386980
-1194229,3504794
-1389096,3272017
-1240513,3500815
-851609,3500675
-461908,3151632
-288382,2994733
-125405,3428008
-846148,3080814
-254707,3080810
2826855,3314656
-1397175,3536655
2720404,3383432
-1218376,4592851
-50784,2304706
-244663,2991192
1335706,2360098
-1935347,3288297
3086303,3560018
2716187,3579885
2300192,3249332
-1817726,3580122
1086243,2922452
3086303,3560018
-1697750,3193957
-2110332,3599278
-1991757,3187271
-1978655,3227210
1868098,2948395
1214964,2848547
-990566,3301640
-1036642,3288548
-1238460,3003579
-1552955,3749980
-1271535,3455826
-1298343,3238995
-225238,2952195
-1369200,3238256
-1068793,3082598
-1170072,3102838
-1162230,3429853
-1274539,3311775
-1119542,3214036
1354259,2363395
1328631,2408049
-1018530,3106201
-894963,3494073
-1117440,3557747
-1074027,3479919
-1411850,3705373
-1024429,3441161
-1219626,3536772
-1148734,3563315
-1109544,3516747
-482445,4924330
1417788,2588850
1285296,2470229
1073771,2188729
994242,3003119
1591513,2616919
1195470,2895573
1106269,2183928
1149638,2246782
1094212,3228248
2523153,3055237
1298781,2500845
2196789,3121991
781365,4935148
1568976,4648978
2513900,2839262
2509579,2843638
-423046,3607117
2081947,4254239
2740542,3835731
-1213836,3579094
-1299673,3078091
-1179084,3043303
-1469997,3774966
1703420,5057374
1401386,5218947
-979151,4137638
544305,5240188
1748034,2711893
2553822,3503096
1743952,2927739
1856908,3057714
-1282388,3239572
-903682,4017864
2224092,3277668
1417823,2462163
709512,3574338
1396284,2490207
-116029,2892803
-849966,3079527
-367378,2928921
-1588627,3817139
-2015400,3115955
-1804331,3366735
-2095326,3235988
-2281194,3397515
-1705719,4842666
-620837,3804008
-1374368,5099858
-1282743,3269180
-621933,3804119
1326316,2413306
-1221713,3069322
2264406,3409019
-552511,3080122
-1245316,3062435
-1189114,3120883
1750923,3395328
1654892,3117437
-1084909,3074061
-1214868,3094007
-866414,4359748
1274459,2470292
-1166326,3074457
-1150044,3184313
-691870,3067243
-1287049,4005546
-290182,3123945
-785361,3205070
-383947,3137627
-1283525,3496484
1111149,4580658
895331,5271842
2307783,3424246
544305,5240188
2310454,3138399
2809916,2865217
2521994,2840128
2357302,2689835
-1991692,3234960
994242,3003119
1881783,2735956
1828715,2821639
1534709,2515707
1396284,2490207
-330305,3739840
1172817,2510023
2200831,4101473
2364048,2996915
2247266,2898059
-1327106,3166906
2335113,3026170
2434078,2860538
1399114,2504008
-2024193,3727422
-1935745,3286933
-350688,3400509
122140,3924929
1362186,2448071
2287265,2811675
2262473,2893140
2431989,3020458
1105724,2302442
2542064,3176452
-2051801,3289350
1361309,2914552
1753209,3055181
1040411,2617526
1214964,2848547
1663179,2839923
842494,2824301
842494,2824301
1087085,2924809
1107088,2302640
324600,2870077
722067,2879263
514532,2837246
1345251,2337285
-852360,3353151
292068,3376183
-1935076,3284804
-1837101,3270309
-2062129,3235211
1123095,2556697
-1915024,3301734
2360707,2909903
-1143475,3078041
-2022066,3119768
3091470,3395352
117261,4164737
2602675,3941282
1322924,3099272
1519389,3582969
2025446,3216458
1095709,3226621
-1273533,3037844
505273,3049123
298384,3017042
1630595,4210990
-866414,4359748
1186466,3432485
-1217477,4592646
1201885,4397496
1223515,3353416
567372,3261085
-963946,3464389
-1308211,3244574
-626933,3073718
-753461,3275953
-969207,3429104
-1253367,3353542
-1373561,3107377
-1441111,3106442
-1283745,3043421
-1087138,3422317
-1717940,3153879
-2102626,3318700
-1803181,3672494
1222047,3270575
1214317,3683547
1268500,3828442
1130292,4004980
136437,4879111
-1989070,3148342
7998,4861657
-1152791,5369175
453771,5661342
-1318324,3393790
-950427,4004545
-982198,4138154
-1519746,3739878
-1086426,4403403
-1611487,3877454
-1495634,4429039
-1456469,5138568
-1339756,3586276
-2066299,3859335
-2167984,3855421
-384041,3514521
1040411,2617526
191197,2852334
-531044,4430497
1806944,2760783
-851609,3500675
-1158361,5436762
1804976,4844339
-1525950,3590041
-1456469,5138568
-2040212,1499385
1258038,1713874
-1890451,1452741
163612,1277452
391402,1182724
-169378,1124456
1246333,1651229
842891,2074880
-2128500,2052395
-517538,1030556
1016958,2147549
1294052,1453670
-300190,1245425
307605,2304491
-62028,1183240
1545640,1621736
-49471,1075202
187534,869731
86272,1169928
-59316,866428
-146340,1133310
855432,1353812
-9320,2020941
374721,2001908
27724,967317
-421868,1495650
-167348,525054
-236922,1118756
715367,1808151
893244,2572470
-1527924,2977043
-278736,800714
712773,1761905
-1373979,1494382
1601666,1952852
-1417638,1121863
-1118974,2281339
1179059,1199751
1458585,1976605
-69104,1433420
920348,932201
883221,1018291
1020730,1044768
97889,2487186
854924,2153296
1360968,647209
947981,2619072
889280,1286203
1293885,2109006
-827354,1907120
-573939,1329150
268642,1230300
-2274793,1999482
1822095,2088409
-824028,1526310
151733,2093139
1131868,2004714
804325,2313414
19530,1568483
175044,1541378
1787598,2654690
1610556,1752693
-858072,2017391
-868598,1800677
-778387,1928451
-525760,1967840
-968302,1638826
906426,2084776
-609073,1979397
1930004,2281771
-2010166,2047737
-2199218,2022739
-276811,701448
-324648,439606
587928,2444624
1472458,1247709
1338011,1406923
1313690,1275013
1403785,1360845
1484209,1195147
1431683,1152370
1542882,1333126
-2099593,1937743
9662,747191
-164319,1171826
-86766,2336600
-163426,1382416
1472561,1410296
1452187,1230715
1354338,1356512
-1453592,1484567
50713,714060
-1987574,2609991
-226640,831380
179153,2250816
-150302,814467
-2015117,1952666
1308092,736414
240740,2563346
-496762,864606
885881,2266818
408848,2298298
789668,590456
378536,467287
628000,593029
166482,529233
352333,716998
-1088,529745
100295,612266
229981,546584
-18121,518506
-1637402,2465070
-239063,2721525
1152157,943133
252021,1067381
-395632,579414
135967,477227
1116290,1245316
-862624,2128594
1128672,1588008
659846,1176471
785451,1324430
523509,1040843
-121311,2865528
-540679,2901190
-177955,2863319
-300876,2827508
284754,1773940
-375095,2651669
798334,718870
397190,537920
292734,711142
549908,523518
144343,679923
-93360,419761
263608,653089
-1534233,1696533
-1498573,3018736
669529,1343357
594168,478378
501001,1262980
313995,2508633
-526340,1915449
-2275869,2011452
-296845,2760366
1022879,1993750
1384840,943986
1106359,1072878
-1956021,1502065
131022,431875
367523,585012
-46914,2584083
-107734,527824
1344140,646320
1591166,502720
834085,1285194
35090,2418309
1395401,531585
-60528,1305086
1593526,488742
-235807,1528631
1432819,718974
626513,2213459
1365519,927207
-863655,1873415
1370817,898692
1383967,1113011
-176366,1339353
683542,1701145
600455,2126376
709282,1940701
1400288,1530147
526872,2156263
1422443,1160243
890514,2463020
-97510,1070135
-1697029,1607325
55115,2064560
-73255,1408148
1544316,619791
1413356,497438
1424994,493628
1054601,1314050
934964,1318579
1311141,630116
1375404,648110
-461370,1081061
679402,2041747
1330215,1484990
-49863,2650041
1574275,1533675
107999,1376499
1114428,881382
1569069,1587607
-67128,1056579
1156927,964265
1420308,1492184
5909,1289663
1211010,937526
77579,2421523
1147849,1143148
-110570,1295179
1036663,1199461
1093918,1418639
272263,2467152
1292606,1240221
282508,2542610
812725,2567052
-84149,1367164
1565745,588053
1071643,1267048
1273783,1557489
89421,1431257
1058096,800875
-364209,689073
-889759,1765307
906376,868224
-375934,2115700
1408645,873736
-537844,1439858
903281,901083
1711546,1903033
843620,862165
843246,861015
1193201,855485
-202921,956874
757825,870535
1626380,1936580
905291,886763
1774407,2156863
252475,787400
-21030,2415584
1030899,1109344
2056173,2397511
1502006,587078
900458,1079718
939192,1025696
974212,964170
1051596,1269093
822086,1327178
851196,1207704
933098,1218782
6931,1993395
852801,1164554
274993,966592
-170496,928474
451115,748391
223301,2166348
483993,2513659
253758,865338
-272207,480058
678225,1054774
1440985,804957
693515,1080226
554338,1044723
524894,915536
1461104,780676
-118568,539546
267174,889418
266731,787138
190841,765925
-197782,739221
110851,688544
73675,716543
81443,726143
56239,808625
120635,1035510
203478,1043934
370114,1056458
122800,945620
-149745,524095
-127091,515705
-180405,494511
-200685,521512
-240046,698977
-103149,557806
-316079,603923
52412,670860
-308236,703442
-250588,704467
-220888,719784
-178622,759353
-109049,1176661
-116135,949206
-123131,935271
-173320,889913
-79183,1086575
-6031,1110885
-111057,1126988
-96802,1092218
-191916,1081050
-77668,1100176
-80934,1068071
-477818,711557
-463895,709958
-828977,1011403
-425885,929586
-393854,1436107
-600788,1003177
-344403,1044263
-278658,973168
-786742,1121961
-873127,1371565
-751134,1555359
-643807,1287330
-927372,1134199
-1020713,1082682
-1040869,1191528
-1095887,1088647
-1391034,1119427
-1264243,1177964
-1458387,1219531
-1469697,1276686
-1445507,1274650
-1473464,1305087
-1503702,1292960
-1494858,1290518
-1358258,1051314
288202,901749
-141108,2883154
-1936052,1419134
-1869743,1398257
-2024975,1456744
-2026084,1476892
-2039105,1458754
-2199812,1574191
-2198726,1639981
-1956259,1292513
-1951539,1300710
-1942970,1270879
-1959940,1289344
-1955663,1273166
-2149921,1396782
-2051937,1391636
-2077426,1353917
-1985503,1565864
-2034664,1433210
-2009332,1425690
-2000700,1433067
1525949,1482671
1744469,1475156
1343005,1518983
1660567,1561044
1723420,1618698
1751656,1714948
1679308,1686246
1727364,1723087
1704682,1741120
1694664,1739155
1721005,1489299
1702714,1504765
1557833,1871101
1370576,1320155
1448916,1289489
1502038,1435321
1353355,1458177
1491769,1484068
1334751,1453300
1365881,1601532
1400648,1570284
987289,1310240
760968,1331887
1073035,1486275
829204,1492718
845432,1481948
501532,1540302
684102,1180238
543666,1350837
596324,1461838
479135,1433314
551183,1449915
264605,1272456
403204,1291462
371785,1242489
183919,1155906
167824,1460110
150681,1471662
-169782,2082430
135091,1461205
-227746,1214264
-102227,1232007
-126750,1422885
-124775,1374153
-148039,1387846
-96816,1457209
-218389,1290408
57346,1400525
19668,1315523
-130930,1354320
-219894,1281272
-997056,1274119
-1072215,1412494
-514710,1366763
-972206,1398246
-904196,1443896
-1485690,1416550
-1326890,1432245
-1424848,1428611
390550,2511267
-67428,826918
-2167073,1558823
-1665841,1507548
-1965818,1543631
-1870157,1515820
-2044150,1543728
-1981899,1841261
-2080523,1734455
-2206888,1583346
-2184999,1686830
1730580,1693195
1705684,1689833
1624814,1768198
1598748,1849410
1583293,1898228
1686277,1869056
1520927,1934325
1232046,1606387
1642070,1961645
1662254,1983464
1777233,2079037
1771723,2011749
1759279,2197637
1830694,2119640
1745055,1978746
1815439,2098366
1764656,1932449
1771140,2116256
1469937,1632124
1400212,1704622
1343356,1674707
1184788,1633594
1579653,1665428
1292152,1741182
1293670,1684809
1353510,1758258
1242101,1799650
1380966,1879623
1361320,1962449
988143,1726728
889421,1730769
724381,1673023
1047163,1626280
1159529,1787802
1238577,1908651
1106780,1962484
1088943,1969865
1129240,1939042
1036022,1888454
1000542,2029402
734722,1700381
617918,1722258
484077,1761558
1001810,1616961
866306,1886211
761378,1969468
511302,1778603
325233,1760871
292081,1903159
336743,1640746
331586,1735774
205354,1869760
95459,1756525
92782,1862187
-124887,1624200
-91215,1570079
-106387,1635487
-110100,1671180
-346278,1644616
-246803,1704636
-281716,1762395
-16452,1699941
32058,1783155
28849,1769357
-140668,1837662
-142876,1755199
-863167,1644460
-1032146,1630723
-1033105,1722441
-580699,1691112
-735280,1728226
-485709,1830708
-326834,1823638
-880626,1848308
-926465,1900251
-951728,1768800
-536972,1820130
-724732,1895286
-609935,1929468
-1268408,1802806
-1485087,1763374
-1025134,1783684
-1105520,1658268
-1302083,2195939
-2131285,1868905
-2129049,1858810
-2157138,2013595
-2164658,2078879
-2178297,2035901
-1698556,1634613
-2262926,1814217
-2172555,1941123
-2156471,1905659
-2259389,1949056
-2246644,1899713
-2250328,1999844
-2285443,2044431
-2167445,2160715
596798,1579228
1482925,2317883
1985607,2260049
1915944,2213386
95197,809393
1818303,2193014
1900677,2288961
1834786,2188735
1884033,2246223
1902565,2261057
1968318,2285070
1996798,2361073
2130041,2319829
2057181,2375988
2045795,2345774
2081511,2322658
2100053,2359808
2034953,2366029
2122327,2368232
2006551,2340620
2092987,2404640
2023971,2323012
1945967,2327169
1908752,2317046
2022494,2444674
1674632,2106001
1299528,2177242
1590024,2139574
1957322,2423669
1710937,2098380
1652881,2072409
1458280,2139584
1338353,2087410
1415719,2146643
1438687,2050992
1509759,2126813
1575847,2184908
1629870,2306483
1470304,2262828
1790148,2404565
1599154,2402899
1533913,2336205
1319029,2052791
1347385,2041000
1081936,2029738
1146313,2102536
1220917,2033474
1141301,1970979
1268759,2129958
1257550,2187552
1424216,2219319
1332749,2161648
1393440,2343029
1373443,2358228
1433718,1449050
664536,2137635
652373,1917979
657315,1855196
529113,1979400
744583,2084965
898683,2050754
824364,2002322
710325,2100106
679756,2116488
721618,1780348
824283,2122874
1006699,2129628
1025860,2067207
1034487,2203918
1059081,2229148
1019776,2204444
977091,2243106
926847,2253883
804533,2236279
878508,2195096
979974,2157690
910614,2312910
761720,2593417
938035,2158489
903250,2191529
941541,2231575
1031551,2172494
566121,2153417
453771,2064128
353470,2105917
80142,2044964
385107,1947798
140362,2232695
193260,2061592
202339,2078948
50158,1971265
220955,2004198
432977,2167490
195631,2112465
468288,2106009
137579,2000968
397458,2146108
293660,2178424
392407,1970471
-14969,2197913
215905,2243383
328450,2194029
139031,2180482
240845,2036141
62490,2000357
13501,2245946
62477,2177921
20702,2028016
175958,1959833
-165789,1988852
-63200,1920950
-251259,1972273
19660,2012228
11244,1954986
-301705,2053691
-118244,2109681
-110607,2049922
-388689,2022199
-387237,1919413
-732202,2050634
-733352,1901694
-638204,2045832
-965844,2001050
-996306,1895407
-1077652,2139680
-1324280,2124317
-1032163,2271507
-669271,2146910
-1338493,2330758
-1506113,2728674
-1889878,2119802
-1806231,2196167
-1264276,2286455
-2312193,2340994
-2156118,2388621
2001955,2519439
2039243,2571770
2015773,2536610
2061259,2681136
2120414,2643302
1875440,2494010
1884332,2528736
1944189,2618185
1884516,2620068
1944528,2653908
1796101,2603461
1979195,2595708
2028762,2615862
2057849,2655616
849310,2256383
788330,2282332
896762,2428763
775970,2404550
974087,2517470
-877560,1797807
-968550,1881515
999829,2451361
487491,2564986
644177,2262004
628670,2252984
538110,2257301
634514,2296157
566997,2200901
259394,2484500
390710,2628195
665279,2224669
652640,2336552
513470,2412581
299778,2639420
356105,2439157
420879,2341300
430360,2252181
280675,2328794
395679,2234993
624276,2417395
663743,2377819
595135,2386415
676500,2458928
499957,2437675
-549,2471085
435909,2537391
692739,2558587
656682,2488663
336093,2012056
575110,2424754
601885,2332472
353152,2568213
587724,2292859
-447012,2353183
-527969,2243161
-77257,2520508
-266013,2312975
-473413,2464278
-177109,2379314
236845,2783851
-163389,2311198
53266,2517519
49313,2881913
152139,2507887
268576,2639756
14528,2384494
220244,2407532
-23981,2332462
119307,2370824
219260,2351206
128772,2431134
459761,2419371
208368,2455635
117773,2463005
232654,2441544
34698,2295913
343051,2350666
-189342,2498181
254176,2340583
-616882,2413431
-562825,2360347
-565983,2371651
541529,2482519
-588244,2536250
-850176,2424798
-865264,2470588
-1138877,2481528
-955633,2452773
186767,2510345
-344160,2514421
-1022397,2473190
-1146695,2261488
-1190848,2505904
-1174054,2627783
-1121534,2608856
-1613973,2458141
-1479985,2871740
-1827481,2510585
-1665099,2521502
-1550706,2715328
-1767773,2381254
-1762303,2736069
-1791159,2757852
-1706454,2624369
-2072412,2767245
-2035443,2791325
893838,2663435
509360,2533403
881159,2594616
849909,2492910
325601,2680422
452382,2629314
191738,2688372
266777,2719512
212344,2547259
23464,2872440
-69463,2861420
111319,2796008
179392,2619838
92090,2599704
-32686,2479831
152673,2420113
-62037,2659655
-41561,2532551
80893,2724423
-13756,2785342
349928,2703702
246264,2300924
-217872,2793946
-515722,2576479
-830515,2751638
-1214640,2950043
-1221334,2726887
-1309905,2749338
-1161746,2814217
-1146600,2815229
-1162231,2811721
-1359431,2942701
-1866154,2861642
-1904544,2955500
-1818541,2944686
-1758330,2907516
-1607758,2776944
-1435892,2530666
-1559297,2924698
-1768632,2802450
-1615449,2920100
-1605898,2818440
-2036561,3088106
-2126646,2888576
-2002749,3006074
-1971058,2993308
-1962796,2994640
-1955103,3040078
-1938170,3064277
1763782,2220599
-1724689,1229771
-1992698,2962348
1427530,1609264
1189872,1852563
-35237,1208566
146706,1221465
1607028,2512224
1969799,2453515
1839312,2379496
650310,1667196
547774,1697732
619949,2109719
596835,1742276
568651,1854758
444748,1858771
663989,2152743
1873742,2192888
1934580,2220578
2002419,2454666
1905489,2369517
1892094,2361542
-2103246,1817661
-1926091,1319805
-2219433,1996960
1011191,1931152
1634816,1918853
1795301,1975923
-1845965,1559398
-1928409,1624198
752344,1547819
841959,1591030
1439439,1522342
1614222,1532031
-2107799,1743048
-1809237,1271804
-1895223,1265440
-444723,845326
-244733,985883
-360635,833260
326210,923640
1323496,830745
677980,840257
1001830,832143
891326,860703
1391052,1101831
1328525,1145523
1102144,1282704
1216193,958981
1592201,468691
1417895,1328049
1579381,1338394
1500654,1220486
1510048,722581
1340898,849325
-1942828,1266390
-1782213,1243310
-1782852,1216917
-982151,1004787
-1449276,781822
-1467026,659691
-1452685,655533
-1542081,454273
-223963,330346
-510296,271780
-443331,323360
-153664,303389
-1476101,227835
-1083797,81202
-1068838,74098
-324643,85114
-305798,80914
-227900,86105
2880292,1511858
1727240,545818
1515705,118242
1418636,120211
722455,2725956
723780,2223098
1078374,2445059
1031451,2550841
1826019,1918759
2039016,2425870
-2327016,1922754
-2335713,2023056
-2361335,2147729
-2102994,1441808
2224153,2515641
2200798,2252233
1414497,476930
1297681,658559
640860,669613
-2292848,2425440
-1959817,3151271
-2278652,1959781
1776989,1729907
-2108896,3138548
-2314806,1991570
-2211271,1637064
-2188700,2730238
-2115811,2948071
-2285390,2538150
-2345874,2109933
841227,852684
2197513,2655350
844239,2690410
-2122109,3061836
571809,2825058
2048326,2312495
401723,2688009
668264,2718838
-2217240,1567344
1495575,1195050
-2255334,2599018
188691,734371
2034892,2492399
-2116659,3142809
666246,2335606
1085656,2143390
-1973494,3017660
2145822,2618541
1669340,1936167
1416605,864646
1588321,350781
1522843,295859
1606512,416689
1258995,759285
1196028,827319
2018886,2416608
705980,2510720
993202,2401456
-2152387,3032603
758368,709936
3174620,3330768
971351,685411
3261897,3103471
1101902,705635
674356,2869012
1185624,2289918
64238,537140
1860603,1714010
1481970,893768
-2322072,3677767
1327525,2383259
-2225785,2739753
-2013968,3220564
-2293937,3357476
155637,685645
1427732,1038883
1689299,1321421
107302,659153
2044121,2519956
2127242,2644131
2193224,2669547
2066977,2950779
2860726,3287106
1206920,2538052
107496,2965820
1084543,2584640
-2311273,2546203
-2037717,1284438
1568593,3211300
1326562,2326398
-2110471,3154372
698285,2112168
1067056,2392758
763820,2367223
1559555,2435419
873287,2662723
1790786,1970195
2006952,2349754
2041745,2347464
1843524,2193229
1782717,1947251
1982701,2256637
2022192,2319064
1764294,2075200
1881255,2244620
1081197,2135199
2016497,2333415
1038209,2144372
1413492,1107991
1655041,1969480
1687457,1834951
1819191,1613000
1679213,1972598
1763280,1807199
1620925,1922434
698331,2142163
1296098,634250
1452937,277663
1391736,920657
986949,2518611
539313,759371
542278,791000
-120719,502713
98396,734736
1718193,2061201
-2275564,2903199
-2272702,1835799
-2307359,1837806
1455620,1141278
1599693,1345791
-2260234,1841963
1718933,1868393
1779254,1969447
1651428,1395661
-2124758,3091541
1763411,2174575
643944,671713
-2147812,2824446
1715748,1756942
818767,2513033
567630,2719535
1352640,277774
668987,2178876
655044,2293521
675239,2414758
1749231,1999174
1684273,1885814
730823,2103904
728508,2548305
818440,2609914
757565,2375896
1730642,1411373
348930,504758
1445874,1171536
2015558,2496742
1678942,1768407
1112261,2122613
1546763,1279580
1438740,439808
1478725,2394360
-2228255,1994078
-1956426,1274024
2083720,2345314
-101808,563204
1748946,1974208
1116638,2121316
760473,879010
992155,840015
-2119821,2974403
1266317,1269873
1791127,1650787
1796976,1896917
1317085,614903
610923,774981
-103625,550411
1825820,2022209
712647,836114
673796,820125
1368501,2352793
720222,821896
717579,834608
1723276,1727952
876063,2584835
267490,797378
1475664,2395694
795861,2237849
1609208,2586943
461116,744003
747349,828650
2243890,2750050
-207154,387777
241839,1875705
-699636,723624
777245,1012336
377693,1426967
124204,1599643
-991449,1311618
-620959,1232200
-495617,1520423
-680853,1675617
-399343,1005281
-1000241,1116814
-1255981,1398857
-561029,1743002
-1172315,1262058
-1254817,1081436
-922116,1469249
-794667,1803702
-668236,1694265
-881609,1558063
-658952,1601101
-637340,1888218
-912939,1880656
1410574,1899325
1749681,1768839
1503079,1569547
1701028,2052772
-1888366,2511912
-1289517,2978367
-1176839,2387890
-1456868,2038383
-1620363,2898107
-1928646,2334992
-1089659,2737042
-2253631,2591369
-2202101,2270204
-1876120,3090445
-49900,2304924
9436,2811893
-785795,1122101
-1066401,1406576
-1218951,1707983
-1451931,1075743
-777638,1821984
-1115332,1404604
-1178135,1763067
-1191237,1666103
-1501033,1738374
-756223,1145610
-816185,1268664
-1416322,1131811
-1366095,1050714
-1858652,1713798
-1940792,1369578
-1682312,1246360
-1436266,1220041
-1023674,1273063
-1371714,1648364
-1519215,1714260
-1572769,1125600
-1282464,1613441
-1522679,1872027
-1060315,1509158
-1540882,1234880
1199883,1466843
-97315,1452511
-98809,1454432
397203,788211
26121,967312
2004796,2311917
1192469,2017458
224659,2064441
1351074,1247426
1090815,981533
968379,1495722
817771,1080428
943277,1329723
840524,1277506
785712,1324566
776855,863560
1349886,908676
730900,1115360
757979,1334767
754757,1298669
907098,1340339
843545,1069184
808943,1802521
1819943,2301078
1285453,2470256
1603255,2327351
910458,1028871
915044,1215070
1479118,431241
-2161816,1862073
-2313177,2030564
-680587,2844724
-447259,2131335
-1090250,1988929
-347653,2344402
-668173,2421620
-1028386,1962266
2118433,2978955